前 128 个点的 FFT 结果:
第 69 个点: 69, s3 实部: -1341.845912, s3 虚部: 23.959700, s3 取模: 0.163826, s3 相位: 3.123739, s4 实部: -1.935643, s4 虚部: -20.896125, s4 取模: 0.002562, s4 相位: -1.663164, 相位差: 4.786903
第 70 个点: 70, s3 实部: -1347.162709, s3 虚部: 44.811782, s3 取模: 0.164540, s3 相位: 3.108341, s4 实部: -17.847574, s4 虚部: -67.126450, s4 取模: 0.008479, s4 相位: -1.830664, 相位差: 4.939005
第 71 个点: 71, s3 实部: -1327.659463, s3 虚部: -34.533389, s3 取模: 0.162123, s3 相位: -3.115588, s4 实部: 40.522475, s4 虚部: 105.381973, s4 取模: 0.013782, s4 相位: 1.203697, 相位差: -4.319285
第 72 个点: 72, s3 实部: -1335.698872, s3 虚部: -2.551303, s3 取模: 0.163049, s3 相位: -3.139683, s4 实部: 16.740309, s4 虚部: 35.523663, s4 取模: 0.004794, s4 相位: 1.130417, 相位差: -4.270100
第 73 个点: 73, s3 实部: -1337.201227, s3 虚部: 3.030830, s3 取模: 0.163233, s3 相位: 3.139326, s4 实部: 12.651054, s4 虚部: 23.477966, s4 取模: 0.003256, s4 相位: 1.076555, 相位差: 2.062771
第 74 个点: 74, s3 实部: -1337.923772, s3 虚部: 5.439982, s3 取模: 0.163322, s3 相位: 3.137527, s4 实部: 11.104150, s4 虚部: 18.630620, s4 取模: 0.002648, s4 相位: 1.033311, 相位差: 2.104215
第 75 个点: 75, s3 实部: -1338.430670, s3 虚部: 6.912204, s3 取模: 0.163385, s3 相位: 3.136428, s4 实部: 10.506858, s4 虚部: 16.162780, s4 取模: 0.002353, s4 相位: 0.994375, 相位差: 2.142053
第 76 个点: 76, s3 实部: -1338.892683, s3 虚部: 8.070096, s3 取模: 0.163442, s3 相位: 3.135565, s4 实部: 10.527279, s4 虚部: 14.845879, s4 取模: 0.002222, s4 相位: 0.953986, 相位差: 2.181579
第 77 个点: 77, s3 实部: -1339.418768, s3 虚部: 9.226053, s3 取模: 0.163507, s3 相位: 3.134705, s4 实部: 11.218185, s4 虚部: 14.289379, s4 取模: 0.002218, s4 相位: 0.905225, 相位差: 2.229480
第 78 个点: 78, s3 实部: -1340.168618, s3 虚部: 10.720903, s3 取模: 0.163600, s3 相位: 3.133593, s4 实部: 13.054525, s4 虚部: 14.494996, s4 取模: 0.002381, s4 相位: 0.837637, 相位差: 2.295956
第 79 个点: 79, s3 实部: -1341.609817, s3 虚部: 13.430757, s3 取模: 0.163779, s3 相位: 3.131582, s4 实部: 17.890753, s4 虚部: 16.104496, s4 取模: 0.002938, s4 相位: 0.732902, 相位差: 2.398680
第 80 个点: 80, s3 实部: -1346.942276, s3 虚部: 23.200631, s3 取模: 0.164446, s3 相位: 3.124370, s4 实部: 39.137950, s4 虚部: 24.391339, s4 取模: 0.005629, s4 相位: 0.557314, 相位差: 2.567055
第 81 个点: 81, s3 实部: -1321.892186, s3 虚部: -22.452561, s3 取模: 0.161387, s3 相位: -3.124609, s4 实部: -67.833933, s4 虚部: -18.067815, s4 取模: 0.008569, s4 相位: -2.881283, 相位差: -0.243327
第 82 个点: 82, s3 实部: -1334.505694, s3 虚部: 0.528877, s3 取模: 0.162904, s3 相位: 3.141196, s4 实部: -16.114948, s4 虚部: 2.589953, s4 取模: 0.001992, s4 相位: 2.982238, 相位差: 0.158958
第 83 个点: 83, s3 实部: -1336.550714, s3 虚部: 4.202588, s3 取模: 0.163154, s3 相位: 3.138448, s4 实部: -9.238164, s4 虚部: 5.599587, s4 取模: 0.001319, s4 相位: 2.596673, 相位差: 0.541775
第 84 个点: 84, s3 实部: -1337.580108, s3 虚部: 5.970052, s3 取模: 0.163280, s3 相位: 3.137129, s4 实部: -7.072980, s4 虚部: 6.921840, s4 取模: 0.001208, s4 相位: 2.366994, 相位差: 0.770136
第 85 个点: 85, s3 实部: -1338.381035, s3 虚部: 7.238240, s3 取模: 0.163379, s3 相位: 3.136185, s4 实部: -6.561951, s4 虚部: 7.838624, s4 取模: 0.001248, s4 相位: 2.267771, 相位差: 0.868413
第 86 个点: 86, s3 实部: -1339.214539, s3 虚部: 8.428583, s3 取模: 0.163482, s3 相位: 3.135299, s4 实部: -7.082531, s4 虚部: 8.732446, s4 取模: 0.001373, s4 相位: 2.252244, 相位差: 0.883055
第 87 个点: 87, s3 实部: -1340.302437, s3 虚部: 9.829709, s3 取模: 0.163616, s3 相位: 3.134259, s4 实部: -8.686975, s4 虚部: 9.871172, s4 取模: 0.001605, s4 相位: 2.292471, 相位差: 0.841788
第 88 个点: 88, s3 实部: -1342.053267, s3 虚部: 11.897306, s3 取模: 0.163831, s3 相位: 3.132728, s4 实部: -12.084265, s4 虚部: 11.691776, s4 取模: 0.002053, s4 相位: 2.372701, 相位差: 0.760027
第 89 个点: 89, s3 实部: -1345.731347, s3 虚部: 15.974699, s3 取模: 0.164285, s3 相位: 3.129723, s4 实部: -19.973911, s4 虚部: 15.501959, s4 取模: 0.003086, s4 相位: 2.481589, 相位差: 0.648133
第 90 个点: 90, s3 实部: -1359.339670, s3 虚部: 30.479698, s3 取模: 0.165977, s3 相位: 3.119174, s4 实部: -49.993447, s4 虚部: 29.527868, s4 取模: 0.007088, s4 相位: 2.608088, 相位差: 0.511086
第 91 个点: 91, s3 实部: -1266.781379, s3 虚部: -66.545496, s3 取模: 0.154850, s3 相位: -3.089110, s4 实部: 154.386428, s4 虚部: -65.471787, s4 取模: 0.020471, s4 相位: -0.401089, 相位差: -2.688021
第 92 个点: 92, s3 实部: -1321.138719, s3 虚部: -9.215624, s3 取模: 0.161276, s3 相位: -3.134617, s4 实部: 33.978582, s4 虚部: -9.542253, s4 取模: 0.004308, s4 相位: -0.273779, 相位差: -2.860838
第 93 个点: 93, s3 实部: -1327.111348, s3 虚部: -2.694379, s3 取模: 0.162001, s3 相位: -3.139562, s4 实部: 20.264841, s4 虚部: -3.273877, s4 取模: 0.002506, s4 相位: -0.160171, 相位差: -2.979392
第 94 个点: 94, s3 实部: -1329.158735, s3 虚部: -0.260436, s3 取模: 0.162251, s3 相位: -3.141397, s4 实部: 14.950338, s4 虚部: -0.987654, s4 取模: 0.001829, s4 相位: -0.065966, 相位差: -3.075430
第 95 个点: 95, s3 实部: -1329.926887, s3 虚部: 0.888540, s3 取模: 0.162345, s3 相位: 3.140925, s4 实部: 12.072161, s4 虚部: 0.056555, s4 取模: 0.001474, s4 相位: 0.004685, 相位差: 3.136240
第 96 个点: 96, s3 实部: -1329.970846, s3 虚部: 1.375830, s3 取模: 0.162350, s3 相位: 3.140558, s4 实部: 10.181339, s4 虚部: 0.469692, s4 取模: 0.001244, s4 相位: 0.046100, 相位差: 3.094458
第 97 个点: 97, s3 实部: -1329.338574, s3 虚部: 1.333146, s3 取模: 0.162273, s3 相位: 3.140590, s4 实部: 8.707775, s4 虚部: 0.384568, s4 取模: 0.001064, s4 相位: 0.044135, 相位差: 3.096455
第 98 个点: 98, s3 实部: -1327.686732, s3 虚部: 0.595615, s3 取模: 0.162071, s3 相位: 3.141144, s4 实部: 7.279291, s4 虚部: -0.349723, s4 取模: 0.000890, s4 相位: -0.048007, 相位差: 3.189151
第 99 个点: 99, s3 实部: -1323.637375, s3 虚部: -1.659634, s3 取模: 0.161577, s3 相位: -3.140339, s4 实部: 5.317847, s4 虚部: -2.505019, s4 取模: 0.000718, s4 相位: -0.440228, 相位差: -2.700111
第 100 个点: 100, s3 实部: -1308.838187, s3 虚部: -10.551324, s3 取模: 0.159775, s3 相位: -3.133531, s4 实部: 0.054170, s4 虚部: -10.897755, s4 取模: 0.001330, s4 相位: -1.565826, 相位差: -1.567706
第 101 个点: 101, s3 实部: -1466.147790, s3 虚部: 86.288648, s3 取模: 0.179283, s3 相位: 3.082806, s4 实部: 50.444885, s4 虚部: 80.263861, s4 取模: 0.011572, s4 相位: 1.009693, 相位差: 2.073114
第 102 个点: 102, s3 实部: -1356.194938, s3 虚部: 18.887303, s3 取模: 0.165567, s3 相位: 3.127667, s4 实部: 14.698814, s4 虚部: 16.818179, s4 取模: 0.002727, s4 相位: 0.852542, 相位差: 2.275125
第 103 个点: 103, s3 实部: -1347.528565, s3 虚部: 13.707464, s3 取模: 0.164502, s3 相位: 3.131421, s4 实部: 11.716060, s4 虚部: 11.974287, s4 取模: 0.002045, s4 相位: 0.796298, 相位差: 2.335123
第 104 个点: 104, s3 实部: -1344.454583, s3 虚部: 11.949553, s3 取模: 0.164124, s3 相位: 3.132705, s4 实部: 10.615828, s4 虚部: 10.384836, s4 取模: 0.001813, s4 相位: 0.774399, 相位差: 2.358306
第 105 个点: 105, s3 实部: -1342.966349, s3 虚部: 11.150747, s3 取模: 0.163942, s3 相位: 3.133290, s4 实部: 10.110887, s4 虚部: 9.747090, s4 取模: 0.001714, s4 相位: 0.767080, 相位差: 2.366209
第 106 个点: 106, s3 实部: -1342.170690, s3 虚部: 10.758489, s3 取模: 0.163844, s3 相位: 3.133577, s4 实部: 9.933758, s4 虚部: 9.569828, s4 取模: 0.001684, s4 相位: 0.766741, 相位差: 2.366836
第 107 个点: 107, s3 实部: -1341.782147, s3 虚部: 10.587933, s3 取模: 0.163797, s3 相位: 3.133702, s4 实部: 10.043417, s4 虚部: 9.737891, s4 取模: 0.001708, s4 相位: 0.769954, 相位差: 2.363748
第 108 个点: 108, s3 实部: -1341.740469, s3 虚部: 10.577779, s3 取模: 0.163792, s3 相位: 3.133709, s4 实部: 10.550441, s4 虚部: 10.333769, s4 取模: 0.001803, s4 相位: 0.775024, 相位差: 2.358686
第 109 个点: 109, s3 实部: -1342.222803, s3 虚部: 10.759622, s3 取模: 0.163851, s3 相位: 3.133577, s4 实部: 11.924100, s4 虚部: 11.822061, s4 取模: 0.002050, s4 相位: 0.781101, 相位差: 2.352475
第 110 个点: 110, s3 实部: -1344.532403, s3 虚部: 11.513169, s3 取模: 0.164134, s3 相位: 3.133030, s4 实部: 16.828605, s4 虚部: 16.914174, s4 取模: 0.002913, s4 相位: 0.787934, 相位差: 2.345096
第 111 个点: 111, s3 实部: -1292.185238, s3 虚部: -4.142786, s3 取模: 0.157738, s3 相位: -3.138387, s4 实部: -87.401613, s4 虚部: -89.368723, s4 取模: 0.015259, s4 相位: -2.345067, 相位差: -0.793320
第 112 个点: 112, s3 实部: -1335.346803, s3 虚部: 8.913818, s3 取模: 0.163010, s3 相位: 3.134917, s4 实部: -1.117341, s4 虚部: -1.238945, s4 取模: 0.000204, s4 相位: -2.304632, 相位差: 5.439549
第 113 个点: 113, s3 实部: -1337.163887, s3 虚部: 9.553914, s3 取模: 0.163232, s3 相位: 3.134448, s4 实部: 2.630842, s4 虚部: 2.654633, s4 取模: 0.000456, s4 相位: 0.789899, 相位差: 2.344549
第 114 个点: 114, s3 实部: -1337.764705, s3 虚部: 9.834213, s3 取模: 0.163306, s3 相位: 3.134242, s4 实部: 3.918315, s4 虚部: 4.026200, s4 取模: 0.000686, s4 相位: 0.798977, 相位差: 2.335264
第 115 个点: 115, s3 实部: -1338.059285, s3 虚部: 10.026080, s3 取模: 0.163342, s3 相位: 3.134100, s4 实部: 4.562082, s4 虚部: 4.726896, s4 取模: 0.000802, s4 相位: 0.803139, 相位差: 2.330961
